Inning,Batter_Avg,strike_percentage,At_Bat_Outcome
6,0.289,0.620,hit
7,0.274,0.630,strikeout
7,0.252,0.640,hit
8,0.272,0.640,hit
8,0.280,0.640,hit
8,0.274,0.640,strikeout
1,0.247,0.670,hit
1,0.283,0.670,hit
1,0.205,0.670,strikeout
1,0.261,0.630,hit
1,0.197,0.630,hit
2,0.285,0.670,hit
2,0.248,0.670,hit
2,0.272,0.630,strikeout
2,0.280,0.630,hit
3,0.267,0.670,hit
3,0.233,0.670,walk
3,0.247,0.670,hit
3,0.283,0.670,hit
3,0.205,0.670,walk
3,0.285,0.670,strikeout
3,0.248,0.670,hit
3,0.274,0.630,hit
3,0.204,0.630,hit
4,0.267,0.670,hit
4,0.233,0.670,hit
4,0.247,0.670,hit
4,0.283,0.670,hit
4,0.261,0.630,hit
4,0.197,0.630,hit
5,0.283,0.670,hit
5,0.205,0.670,strikeout
5,0.285,0.670,hit
5,0.272,0.630,strikeout
5,0.280,0.630,hit
5,0.274,0.630,hit
6,0.248,0.650,hit
6,0.267,0.650,hit
6,0.204,0.630,hit
6,0.261,0.630,hit
6,0.197,0.630,hit
7,0.233,0.650,hit
7,0.247,0.650,walk
7,0.283,0.650,strikeout
7,0.205,0.650,hit
8,0.204,0.750,hit
8,0.261,0.750,hit
8,0.197,0.750,strikeout
9,0.272,0.640,hit
9,0.280,0.640,walk
9,0.274,0.640,hit
9,0.204,0.640,strikeout
1,0.268,0.670,hit
1,0.266,0.670,hit
2,0.260,0.670,hit
3,0.252,0.670,hit
3,0.268,0.670,hit
4,0.266,0.670,hit
4,0.280,0.670,hit
5,0.260,0.670,walk
5,0.252,0.670,hit
5,0.268,0.670,hit
5,0.277,0.670,hit
5,0.204,0.670,hit
6,0.266,0.670,strikeout
6,0.260,0.670,strikeout
6,0.197,0.670,hit
6,0.274,0.670,strikeout
7,0.252,0.630,hit
8,0.268,0.620,strikeout
8,0.266,0.620,hit
9,0.260,0.640,strikeout
9,0.252,0.640,hit
1,0.219,0.620,hit
1,0.264,0.620,hit
1,0.285,0.620,hit
1,0.197,0.680,hit
1,0.272,0.680,hit
1,0.252,0.680,walk
1,0.274,0.680,hit
1,0.261,0.680,hit
2,0.248,0.620,hit
2,0.283,0.620,hit
2,0.205,0.620,hit
2,0.280,0.680,walk
2,0.197,0.680,hit
